Year,Ceremony,Award,Winner,Name,Film
1955,28,Sound Recording,,Not as a Stranger ,"Radio Corporation of America Sound Department, Watson Jones, Sound Director"
1955,28,Sound Recording,1,Oklahoma! ,"Todd-AO Sound Department, Fred Hynes, Sound Director"
1955,28,Special Effects,1,The Bridges at Toko-Ri ,Paramount Studio
1955,28,Special Effects,,The Dam Busters ,"Associated British Picture Corporation, Ltd."
1955,28,Special Effects,,The Rains of Ranchipur ,20th Century-Fox Studio
1955,28,Writing (Motion Picture Story),1,Love Me or Leave Me ,Daniel Fuchs
1955,28,Writing (Motion Picture Story),,The Private War of Major Benson ,"Joe Connelly, Bob Mosher"
1955,28,Writing (Motion Picture Story),,Rebel without a Cause ,Nicholas Ray
1955,28,Writing (Motion Picture Story),,The Sheep Has Five Legs ,"Jean Marsan, Henry Troyat, Jacques Perret, Henri Verneuil, Raoul Ploquin"
1955,28,Writing (Motion Picture Story),,Strategic Air Command ,"Beirne Lay, Jr."
1955,28,Writing (Screenplay),,Bad Day at Black Rock ,Millard Kaufman
1955,28,Writing (Screenplay),,Blackboard Jungle ,Richard Brooks
1955,28,Writing (Screenplay),,East of Eden ,Paul Osborn
1955,28,Writing (Screenplay),,Love Me or Leave Me ,"Daniel Fuchs, Isobel Lennart"
1955,28,Writing (Screenplay),1,Marty ,Paddy Chayefsky
1955,28,Writing (Story and Screenplay),,The Court-Martial of Billy Mitchell ,"Milton Sperling, Emmet Lavery"
1955,28,Writing (Story and Screenplay),1,Interrupted Melody ,"William Ludwig, Sonya Levien"
1955,28,Writing (Story and Screenplay),,It's Always Fair Weather ,"Betty Comden, Adolph Green"
1955,28,Writing (Story and Screenplay),,Mr. Hulot's Holiday ,"Jacques Tati, Henri Marquet"
1955,28,Writing (Story and Screenplay),,The Seven Little Foys ,"Melville Shavelson, Jack Rose"
1955,28,Honorary Foreign Language Film Award,1,"Samurai, The Legend of Musashi",
1956,29,Actor,1,Yul Brynner,The King and I
1956,29,Actor,,James Dean,Giant
1956,29,Actor,,Kirk Douglas,Lust for Life
1956,29,Actor,,Rock Hudson,Giant
1956,29,Actor,,Sir Laurence Olivier,Richard III
1956,29,Actor in a Supporting Role,,Don Murray,Bus Stop
1956,29,Actor in a Supporting Role,,Anthony Perkins,Friendly Persuasion
1956,29,Actor in a Supporting Role,1,Anthony Quinn,Lust for Life
1956,29,Actor in a Supporting Role,,Mickey Rooney,The Bold and the Brave
1956,29,Actor in a Supporting Role,,Robert Stack,Written on the Wind
1956,29,Actress,,Carroll Baker,Baby Doll
1956,29,Actress,1,Ingrid Bergman,Anastasia
1956,29,Actress,,Katharine Hepburn,The Rainmaker
1956,29,Actress,,Nancy Kelly,The Bad Seed
1956,29,Actress,,Deborah Kerr,The King and I
1956,29,Actress in a Supporting Role,,Mildred Dunnock,Baby Doll
1956,29,Actress in a Supporting Role,,Eileen Heckart,The Bad Seed
1956,29,Actress in a Supporting Role,,Mercedes McCambridge,Giant
1956,29,Actress in a Supporting Role,,Patty McCormack,The Bad Seed
1956,29,Actress in a Supporting Role,1,Dorothy Malone,Written on the Wind
1956,29,Art Direction (Black and White),,The Magnificent Seven ,Takashi Matsuyama
1956,29,Art Direction (Black and White),,The Proud and Profane ,"Art Direction: Hal Pereira, A. Earl Hedrick; Set Decoration: Samuel M. Comer, Frank R. McKelvy"
1956,29,Art Direction (Black and White),,The Solid Gold Cadillac ,"Art Direction: Ross Bellah; Set Decoration: William R. Kiernan, Louis Diage"
1956,29,Art Direction (Black and White),1,Somebody Up There Likes Me ,"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
1956,29,Art Direction (Black and White),,Teenage Rebel ,"Art Direction: Lyle R. Wheeler, Jack Martin Smith; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1956,29,Art Direction (Color),,Around the World in 80 Days ,"Art Direction: James W. Sullivan, Ken Adam; Set Decoration: Ross J. Dowd"
1956,29,Art Direction (Color),,Giant ,Art Direction: Boris Leven; Set Decoration: Ralph S. Hurst
1956,29,Art Direction (Color),1,The King and I ,"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
1956,29,Art Direction (Color),,Lust for Life ,"Art Direction: Cedric Gibbons, Hans Peters, Preston Ames; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
1956,29,Art Direction (Color),,The Ten Commandments ,"Art Direction: Hal Pereira, Walter H. Tyler, Albert Nozaki; Set Decoration: Samuel M. Comer, Ray Moyer"
1956,29,Cinematography (Black and White),,Baby Doll ,Boris Kaufman
1956,29,Cinematography (Black and White),,The Bad Seed ,Hal Rosson
1956,29,Cinematography (Black and White),,The Harder They Fall ,Burnett Guffey
1956,29,Cinematography (Black and White),1,Somebody Up There Likes Me ,Joseph Ruttenberg
1956,29,Cinematography (Black and White),,Stagecoach to Fury ,Walter Strenge
1956,29,Cinematography (Color),1,Around the World in 80 Days ,Lionel Lindon
1956,29,Cinematography (Color),,The Eddy Duchin Story ,Harry Stradling
1956,29,Cinematography (Color),,The King and I ,Leon Shamroy
1956,29,Cinematography (Color),,The Ten Commandments ,Loyal Griggs
1956,29,Cinematography (Color),,War and Peace ,Jack Cardiff
1956,29,Costume Design (Black and White),,The Magnificent Seven ,Kohei Ezaki
1956,29,Costume Design (Black and White),,The Power and the Prize ,Helen Rose
1956,29,Costume Design (Black and White),,The Proud and Profane ,Edith Head
1956,29,Costume Design (Black and White),1,The Solid Gold Cadillac ,Jean Louis
1956,29,Costume Design (Black and White),,Teenage Rebel ,"Charles LeMaire, Mary Wills"
1956,29,Costume Design (Color),,Around the World in 80 Days ,Miles White
1956,29,Costume Design (Color),,Giant ,"Moss Mabry, Marjorie Best"
1956,29,Costume Design (Color),1,The King and I ,Irene Sharaff
1956,29,Costume Design (Color),,The Ten Commandments ,"Edith Head, Ralph Jester, John Jensen, Dorothy Jeakins, Arnold Friberg"
1956,29,Costume Design (Color),,War and Peace ,Marie De Matteis
1956,29,Directing,,Around the World in 80 Days ,Michael Anderson
1956,29,Directing,,Friendly Persuasion ,William Wyler
1956,29,Directing,1,Giant ,George Stevens
1956,29,Directing,,The King and I ,Walter Lang
1956,29,Directing,,War and Peace ,King Vidor
1956,29,Documentary (Feature),,The Naked Eye ,"Louis Clyde Stoumen, Producer"
1956,29,Documentary (Feature),1,The Silent World ,"Jacques-Yves Cousteau, Producer"
1956,29,Documentary (Feature),,Where Mountains Float ,The Government Film Committee of Denmark
1956,29,Documentary (Short Subject),,A City Decides ,"Charles Guggenheim & Associates, Inc."
1956,29,Documentary (Short Subject),,The Dark Wave ,"John Healy, Producer"
1956,29,Documentary (Short Subject),,The House without a Name ,"Valentine Davies, Producer"
1956,29,Documentary (Short Subject),,Man in Space ,"Ward Kimball, Producer"
1956,29,Documentary (Short Subject),1,The True Story of the Civil War ,"Louis Clyde Stoumen, Producer"
1956,29,Film Editing,1,Around the World in 80 Days ,"Gene Ruggiero, Paul Weatherwax"
1956,29,Film Editing,,The Brave One ,Merrill G. White
1956,29,Film Editing,,Giant ,"William Hornbeck, Philip W. Anderson, Fred Bohanan"
1956,29,Film Editing,,Somebody Up There Likes Me ,Albert Akst
1956,29,Film Editing,,The Ten Commandments ,Anne Bauchens
1956,29,Foreign Language Film,,The Captain of Kopenick ,"Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers"
1956,29,Foreign Language Film,,Gervaise ,"France; Annie Dorfmann, Producer"
1956,29,Foreign Language Film,,Harp of Burma ,"Japan; Masayuki Takagi, Producer"
1956,29,Foreign Language Film,1,La Strada ,"Italy; Dino De Laurentiis and Carlo Ponti, Producers"
1956,29,Foreign Language Film,,Qivitoq ,"Denmark; O. Dalsgaard-Olsen, Producer"
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Anastasia ,Alfred Newman
1956,29,Music (Music Score of a Dramatic or Comedy Picture),1,Around the World in 80 Days ,Victor Young
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Between Heaven and Hell ,Hugo Friedhofer
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Giant ,Dimitri Tiomkin
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,The Rainmaker ,Alex North
1956,29,Music (Scoring of a Musical Picture),,The Best Things in Life Are Free ,Lionel Newman
1956,29,Music (Scoring of a Musical Picture),,The Eddy Duchin Story ,"Morris Stoloff, George Duning"
1956,29,Music (Scoring of a Musical Picture),,High Society ,"Johnny Green, Saul Chaplin"
1956,29,Music (Scoring of a Musical Picture),1,The King and I ,"Alfred Newman, Ken Darby"
1956,29,Music (Scoring of a Musical Picture),,Meet Me in Las Vegas ,"George Stoll, Johnny Green"
1956,29,Music (Song),,"""Friendly Persuasion (Thee I Love)"" from Friendly Persuasion",Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster
1956,29,Music (Song),,"""Julie"" from Julie",Music by Leith Stevens; Lyrics by Tom Adair
1956,29,Music (Song),,"""True Love"" from High Society",Music and Lyrics by Cole Porter
1956,29,Music (Song),1,"""Whatever Will Be, Will Be (Que Sera, Sera)"" from The Man Who Knew Too Much",Music and Lyrics by Jay Livingston and Ray Evans
1956,29,Music (Song),,"""Written On The Wind"" from Written on the Wind",Music by Victor Young; Lyrics by Sammy Cahn
1956,29,Best Motion Picture,1,Around the World in 80 Days ,"Michael Todd, Producer"
1956,29,Best Motion Picture,,Friendly Persuasion ,"William Wyler, Producer"
1956,29,Best Motion Picture,,Giant ,"George Stevens and Henry Ginsberg, Producers"
1956,29,Best Motion Picture,,The King and I ,"Charles Brackett, Producer"
1956,29,Best Motion Picture,,The Ten Commandments ,"Cecil B. DeMille, Producer"
1956,29,Short Subject (Cartoon),,Gerald McBoing-Boing on Planet Moo ,"Stephen Bosustow, Producer"
1956,29,Short Subject (Cartoon),,The Jaywalker ,"Stephen Bosustow, Producer"
1956,29,Short Subject (Cartoon),1,Mister Magoo's Puddle Jumper ,"Stephen Bosustow, Producer"
1956,29,Short Subject (One Reel),1,Crashing the Water Barrier ,"Konstantin Kalser, Producer"
1956,29,Short Subject (One Reel),,I Never Forget a Face ,"Robert Youngson, Producer"
1956,29,Short Subject (One Reel),,Time Stood Still ,"Cedric Francis, Producer"
1956,29,Short Subject (Two Reel),1,The Bespoke Overcoat ,Romulus Films
1956,29,Short Subject (Two Reel),,Cow Dog ,"Larry Lansburgh, Producer"
1956,29,Short Subject (Two Reel),,The Dark Wave ,"John Healy, Producer"
1956,29,Short Subject (Two Reel),,Samoa ,"Walt Disney, Producer"
1956,29,Sound Recording,,The Brave One ,"King Brothers Productions, Inc., Sound Department, John Myers, Sound Director"
1956,29,Sound Recording,,The Eddy Duchin Story ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1956,29,Sound Recording,,Friendly Persuasion ,"Westrex Sound Services, Inc., Gordon R. Glennan, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director"
1956,29,Sound Recording,1,The King and I ,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director"
1956,29,Sound Recording,,The Ten Commandments ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1956,29,Special Effects,,Forbidden Planet ,"A. Arnold Gillespie, Irving Ries, Wesley C. Miller"
1956,29,Special Effects,1,The Ten Commandments ,John Fulton
1956,29,Writing (Motion Picture Story),1,The Brave One ,Dalton Trumbo
1956,29,Writing (Motion Picture Story),,The Eddy Duchin Story ,Leo Katcher
1956,29,Writing (Motion Picture Story),,High Society ,"Edward Bernds, Elwood Ullman"
1956,29,Writing (Motion Picture Story),,The Proud and the Beautiful ,Jean Paul Sartre
1956,29,Writing (Motion Picture Story),,Umberto D. ,Cesare Zavattini
1956,29,"Writing (Screenplay, Adapted)",1,Around the World in 80 Days ,"James Poe, John Farrow, S.J. Perelman"
1956,29,"Writing (Screenplay, Adapted)",,Baby Doll ,Tennessee Williams
1956,29,"Writing (Screenplay, Adapted)",,Friendly Persuasion ,Michael Wilson
1956,29,"Writing (Screenplay, Adapted)",,Giant ,"Fred Guiol, Ivan Moffat"
1956,29,"Writing (Screenplay, Adapted)",,Lust for Life ,Norman Corwin
1956,29,"Writing (Screenplay, Original)",,The Bold and the Brave ,Robert Lewin
1956,29,"Writing (Screenplay, Original)",,Julie ,Andrew L. Stone
1956,29,"Writing (Screenplay, Original)",,La Strada ,"Federico Fellini, Tullio Pinelli"
1956,29,"Writing (Screenplay, Original)",,The Ladykillers ,William Rose
1956,29,"Writing (Screenplay, Original)",1,The Red Balloon ,Albert Lamorisse
1956,29,Jean Hersholt Humanitarian Award,1,Y. Frank Freeman,
1956,29,Honorary Award,1,Eddie Cantor,
1956,29,Irving G. Thalberg Memorial Award,1,Buddy Adler,
1957,30,Actor,,Marlon Brando,Sayonara
1957,30,Actor,,Anthony Franciosa,A Hatful of Rain
1957,30,Actor,1,Alec Guinness,The Bridge on the River Kwai
1957,30,Actor,,Charles Laughton,Witness for the Prosecution
1957,30,Actor,,Anthony Quinn,Wild Is the Wind
1957,30,Actor in a Supporting Role,1,Red Buttons,Sayonara
1957,30,Actor in a Supporting Role,,Vittorio De Sica,A Farewell to Arms
1957,30,Actor in a Supporting Role,,Sessue Hayakawa,The Bridge on the River Kwai
1957,30,Actor in a Supporting Role,,Arthur Kennedy,Peyton Place
1957,30,Actor in a Supporting Role,,Russ Tamblyn,Peyton Place
1957,30,Actress,,Deborah Kerr,"Heaven Knows, Mr. Allison"
1957,30,Actress,,Anna Magnani,Wild Is the Wind
1957,30,Actress,,Elizabeth Taylor,Raintree County
1957,30,Actress,,Lana Turner,Peyton Place
1957,30,Actress,1,Joanne Woodward,The Three Faces of Eve
1957,30,Actress in a Supporting Role,,Carolyn Jones,The Bachelor Party
1957,30,Actress in a Supporting Role,,Elsa Lanchester,Witness for the Prosecution
1957,30,Actress in a Supporting Role,,Hope Lange,Peyton Place
1957,30,Actress in a Supporting Role,1,Miyoshi Umeki,Sayonara
1957,30,Actress in a Supporting Role,,Diane Varsi,Peyton Place
1957,30,Art Direction,,Funny Face ,"Art Direction: Hal Pereira, George W. Davis; Set Decoration: Sam Comer, Ray Moyer"
1957,30,Art Direction,,Les Girls ,"Art Direction: William A. Horning, Gene Allen; Set Decoration: Edwin B. Willis, Richard Pefferle"
1957,30,Art Direction,,Pal Joey ,"Art Direction: Walter Holscher; Set Decoration: William Kiernan, Louis Diage"
1957,30,Art Direction,,Raintree County ,"Art Direction: William A. Horning, Urie McCleary; Set Decoration: Edwin B. Willis, Hugh Hunt"
1957,30,Art Direction,1,Sayonara ,Art Direction: Ted Haworth; Set Decoration: Robert Priestley
1957,30,Cinematography,,An Affair to Remember ,Milton Krasner
1957,30,Cinematography,1,The Bridge on the River Kwai ,Jack Hildyard
1957,30,Cinematography,,Funny Face ,Ray June
1957,30,Cinematography,,Peyton Place ,William Mellor
1957,30,Cinematography,,Sayonara ,Ellsworth Fredricks
1957,30,Costume Design,,An Affair to Remember ,Charles LeMaire
1957,30,Costume Design,,Funny Face ,"Edith Head, Hubert de Givenchy"
1957,30,Costume Design,1,Les Girls ,Orry-Kelly
1957,30,Costume Design,,Pal Joey ,Jean Louis
1957,30,Costume Design,,Raintree County ,Walter Plunkett
1957,30,Directing,1,The Bridge on the River Kwai ,David Lean
1957,30,Directing,,Peyton Place ,Mark Robson
1957,30,Directing,,Sayonara ,Joshua Logan
1957,30,Directing,,12 Angry Men ,Sidney Lumet
1957,30,Directing,,Witness for the Prosecution ,Billy Wilder
1957,30,Documentary (Feature),1,Albert Schweitzer ,"Jerome Hill, Producer"
1957,30,Documentary (Feature),,On the Bowery ,"Lionel Rogosin, Producer"
1957,30,Documentary (Feature),,Torero! ,"Manuel Barbachano Ponce, Producer"
1957,30,Film Editing,1,The Bridge on the River Kwai ,Peter Taylor
1957,30,Film Editing,,Gunfight at the O.K. Corral ,Warren Low
1957,30,Film Editing,,Pal Joey ,"Viola Lawrence, Jerome Thoms"
1957,30,Film Editing,,Sayonara ,"Arthur P. Schmidt, Philip W. Anderson"
1957,30,Film Editing,,Witness for the Prosecution ,Daniel Mandell
1957,30,Foreign Language Film,,The Devil Came at Night ,West Germany
1957,30,Foreign Language Film,,Gates of Paris ,France
1957,30,Foreign Language Film,,Mother India ,India
1957,30,Foreign Language Film,1,The Nights of Cabiria ,Italy
1957,30,Foreign Language Film,,Nine Lives ,Norway
1957,30,Music (Scoring),,An Affair to Remember ,Hugo Friedhofer
1957,30,Music (Scoring),,Boy on a Dolphin ,Hugo Friedhofer
1957,30,Music (Scoring),1,The Bridge on the River Kwai ,Malcolm Arnold
1957,30,Music (Scoring),,Perri ,Paul Smith
1957,30,Music (Scoring),,Raintree County ,Johnny Green
1957,30,Music (Song),,"""An Affair To Remember"" from An Affair to Remember",Music by Harry Warren; Lyrics by Harold Adamson and Leo McCarey
1957,30,Music (Song),1,"""All The Way"" from The Joker Is Wild",Music by James Van Heusen; Lyrics by Sammy Cahn
1957,30,Music (Song),,"""April Love"" from April Love",Music by Sammy Fain; Lyrics by Paul Francis Webster
1957,30,Music (Song),,"""Tammy"" from Tammy and the Bachelor",Music and Lyrics by Ray Evans and Jay Livingston
1957,30,Music (Song),,"""Wild Is The Wind"" from Wild Is the Wind",Music by Dimitri Tiomkin; Lyrics by Ned Washington
1957,30,Best Motion Picture,1,The Bridge on the River Kwai ,"Sam Spiegel, Producer"
1957,30,Best Motion Picture,,Peyton Place ,"Jerry Wald, Producer"
1957,30,Best Motion Picture,,Sayonara ,"William Goetz, Producer"
1957,30,Best Motion Picture,,12 Angry Men ,"Henry Fonda and Reginald Rose, Producers"
1957,30,Best Motion Picture,,Witness for the Prosecution ,"Arthur Hornblow, Jr., Producer"
1957,30,Short Subject (Cartoon),1,Birds Anonymous ,"Edward Selzer, Producer"
1957,30,Short Subject (Cartoon),,One Droopy Knight ,"William Hanna and Joseph Barbera, Producers"
1957,30,Short Subject (Cartoon),,Tabasco Road ,"Edward Selzer, Producer"
1957,30,Short Subject (Cartoon),,Trees and Jamaica Daddy ,"Stephen Bosustow, Producer"
1957,30,Short Subject (Cartoon),,The Truth about Mother Goose ,"Walt Disney, Producer"
1957,30,Short Subject (Live Action),,A Chairy Tale ,"Norman McLaren, Producer"
1957,30,Short Subject (Live Action),,City of Gold ,"Tom Daly, Producer"
1957,30,Short Subject (Live Action),,Foothold on Antarctica ,"James Carr, Producer"
1957,30,Short Subject (Live Action),,Portugal ,"Ben Sharpsteen, Producer"
1957,30,Short Subject (Live Action),1,The Wetback Hound ,"Larry Lansburgh, Producer"
1957,30,Sound Recording,,Gunfight at the O.K. Corral ,"Paramount Studio Sound Department, George Dutton, Sound Director"
1957,30,Sound Recording,,Les Girls ,"Metro-Goldwyn-Mayer Studio Sound Department, Dr. Wesley C. Miller, Sound Director"
